2.27	0.269
H1I	0.011
65	0.532
2	0.648
227	0.593
227	0.822
JJ7	0.034
3	0.390
6	0.614
227	0.563
227	0.643
I	0.220
M	0.796
U	0.418
227	0.816
2.27	0.269
217	0.067
2	0.770
5	0.646
227	0.870
2.27	0.414
J17	0.031
6	0.476
5	0.995
227	0.654
227	0.643
F	0.043
.	0.478
U	0.176
227	0.816
2.27	0.269
7	0.707
M	0.185
1.	0.480
227	0.593
227	0.822
M7	0.037
55	0.264
65	0.243
227	0.563
227	0.643
7	0.085
55	0.436
U	0.670
227	0.816
